Time,A,B,U
289672,4,5,0
0.195561,3,4,2
0.210645,4,4,1
0.241638,3,3,3
0.306369,3,4,2
0.322909,2,3,4
0.377984,2,4,3
0.455813,2,5,2
0.500074,1,4,4
0.584294,1,5,3
0.903722,1,6,2
0.916364,0,5,4
0.947311,0,6,3
1.02113,0,7,2
1.07627,0,8,1
1.09406,0,9,0
