Time,A,B,U
0,3,5,1
0.0292153,2,4,3
0.0610688,1,3,5
0.117366,1,4,4
0.136221,1,5,3
0.238866,0,4,5
0.303701,0,5,4
0.34713,0,6,3
0.642943,0,7,2
0.793988,0,8,1
0.798746,0,9,0
